"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU2100","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","actinoplanes","actinoplanes spp."
"OTU2101","bacteria","proteobacteria","deltaproteobacteria","myxococcales","myxococcaceae","pyxidicoccus","pyxidicoccus sp."
"OTU2102","eukaryota","eukaryota","eukaryota","peronosporales","peronosporales","phytophthora","phytophthora infestans"
"OTU2103","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter dehalogenans"
"OTU2104","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophaceae","syntrophus","syntrophus spp."
"OTU2105","viridiplantae","chlorophyta","trebouxiophyceae","trebouxiophyceae","coccomyxaceae","coccomyxa","chlorophyte isolate"
"OTU2106","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","geobacteraceae","geobacter","geobacter sp."
"OTU2107","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","nitrososphaera","candidatus nitrososphaera gargensis"
"OTU2108","bacteria","actinobacteria","actinobacteria","rubrobacterales","rubrobacteraceae","rubrobacter","rubrobacter spp."
"OTU2109","bacteria","firmicutes","clostridia","clostridiales","syntrophomonadaceae","syntrophomonas","syntrophomonas spp."
"OTU2110","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter spp."
"OTU2111","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas sp."
"OTU2112","bacteria","actinobacteria","actinobacteria","rubrobacterales","rubrobacteraceae","rubrobacter","rubrobacter spp."
"OTU2113","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","zavarzinella","zavarzinella spp."
"OTU2114","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU2115","bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","sporocytophaga","sporocytophaga spp."
"OTU2116","bacteria","planctomycetes","phycisphaerae","phycisphaerales","phycisphaeraceae","phycisphaera","phycisphaera spp."
"OTU2117","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU2118","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","zavarzinella","zavarzinella spp."
"OTU2119","bacteria","chloroflexi","dehalococcoidia","dehalococcoidia","dehalococcoidia","dehalogenimonas","dehalogenimonas spp."
"OTU2120","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","rhodopirellula","rhodopirellula spp."
"OTU2121","bacteria","bacteroidetes","bacteroidetes","bacteroidetes order ii. incertae sedis","rhodothermaceae","rhodothermus","rhodothermus spp."
"OTU2122","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","rhodopirellula","rhodopirellula spp."
"OTU2123","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","prosthecobacter","prosthecobacter spp."
"OTU2124","bacteria","fibrobacteres","fibrobacteria","fibrobacterales","fibrobacteraceae","fibrobacter","fibrobacter spp."
"OTU2125","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU2126","bacteria","acidobacteria","solibacteres","solibacterales","solibacteraceae","candidatus solibacter","uncultured solibacter sp."
"OTU2127","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","singulisphaera","singulisphaera spp."
"OTU2128","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","rhodopirellula","rhodopirellula spp."
"OTU2129","bacteria","actinobacteria","actinobacteria","actinomycetales","actinopolysporaceae","actinopolyspora","actinopolyspora sp."
"OTU2130","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","filimonas","filimonas sp."
"OTU2131","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","acidisphaera","acidisphaera spp."
"OTU2132","bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","cytophaga","cytophaga spp."
"OTU2133","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","pedomicrobium","pedomicrobium spp."
"OTU2134","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","flavisolibacter","flavisolibacter spp."
"OTU2135","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus telluris"
"OTU2136","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","ammoniibacillus","firmicutes bacterium"
"OTU2137","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","micromonospora","micromonospora spp."
"OTU2138","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","devosia","devosia sp."
"OTU2139","bacteria","actinobacteria","actinobacteria","actinomycetales","frankiaceae","frankia","frankia spp."
"OTU2140","bacteria","firmicutes","bacilli","bacillales","thermoactinomycetaceae","mechercharimyces","mechercharimyces mesophilus"
"OTU2141","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter dehalogenans"
"OTU2142","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiaceae","sinorhizobium","sinorhizobium spp."
"OTU2143","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiales","methylibium","methylibium petroleiphilum"
"OTU2144","fungi","blastocladiomycota","blastocladiomycetes","blastocladiales","blastocladiaceae","allomyces","allomyces macrogynus"
"OTU2145","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga sp."
"OTU2146","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","catenuloplanes","catenuloplanes spp."
"OTU2147","bacteria","cyanobacteria","cyanobacteria","nostocales","nostocaceae","desmonostoc","desmonostoc muscorum"
"OTU2148","bacteria","chloroflexi","caldilineae","caldilineales","caldilineaceae","caldilinea","caldilinea spp."
"OTU2149","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter spp."
"OTU2150","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","zavarzinella","zavarzinella spp."
"OTU2151","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","rhodopila","rhodopila spp."
"OTU2152","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","burkholderia","burkholderia spp."
"OTU2153","bacteria","actinobacteria","actinobacteria","actinomycetales","pseudonocardiaceae","alloactinosynnema","alloactinosynnema spp."
"OTU2154","bacteria","actinobacteria","actinobacteria","rubrobacterales","rubrobacteraceae","rubrobacter","rubrobacter spp."
"OTU2155","bacteria","actinobacteria","thermoleophilia","thermoleophilales","thermoleophilaceae","thermoleophilum","thermoleophilum spp."
"OTU2156","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","lutispora","lutispora thermophila"
"OTU2157","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus sp."
"OTU2158","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU2159","bacteria","bacteroidetes","flavobacteriia","flavobacteriales","flavobacteriaceae","flavobacterium","flavobacterium spp."
"OTU2160","bacteria","planctomycetes","phycisphaerae","phycisphaerales","phycisphaeraceae","phycisphaera","phycisphaera spp."
"OTU2161","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","lacibacter","lacibacter spp."
"OTU2162","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus spp."
"OTU2163","bacteria","chloroflexi","thermomicrobia","sphaerobacterales","sphaerobacteraceae","sphaerobacter","sphaerobacter spp."
"OTU2164","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","micromonospora","micromonospora spp."
"OTU2165","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","verrucomicrobium","verrucomicrobium spp."
"OTU2166","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","aquicella","aquicella spp."
"OTU2167","bacteria","nitrospirae","nitrospira","nitrospirales","nitrospiraceae","nitrospira","nitrospira spp."
"OTU2168","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU2169","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","defluviicoccus","defluviicoccus spp."
"OTU2170","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","frateuria","frateuria aurantia"
"OTU2171","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophaceae","syntrophus","syntrophus spp."
"OTU2172","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU2173","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","sphingobacterium","sphingobacterium spp."
"OTU2174","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus darangshiensis"
"OTU2175","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","phyllobacteriaceae","phyllobacterium","phyllobacterium sp."
"OTU2176","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU2177","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU2178","bacteria","proteobacteria","deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfobacterium","desulfobacterium spp."
"OTU2179","bacteria","proteobacteria","deltaproteobacteria","myxococcales","kofleriaceae","kofleria","kofleria spp."
"OTU2180","bacteria","proteobacteria","alphaproteobacteria","rhodobacterales","hyphomonadaceae","hyphomonas","hyphomonas spp."
"OTU2181","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU2182","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus thermoamylovorans"
"OTU2183","bacteria","actinobacteria","actinobacteria","actinomycetales","streptomycetaceae","streptomyces","streptomyces spp."
"OTU2184","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU2185","bacteria","proteobacteria","deltaproteobacteria","bdellovibrionales","bdellovibrionaceae","bdellovibrio","bdellovibrio spp."
"OTU2186","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","flavisolibacter","flavisolibacter spp."
"OTU2187","bacteria","chloroflexi","anaerolineae","anaerolineales","anaerolineaceae","levilinea","levilinea spp."
"OTU2188","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU2189","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","stenotrophomonas","stenotrophomonas sp."
"OTU2190","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","dongia","dongia sp."
"OTU2191","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","chitinophaga","chitinophaga pinensis"
"OTU2192","bacteria","actinobacteria","actinobacteria","gaiellales","gaiellaceae","gaiella","gaiella spp."
"OTU2193","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","actinoplanes","actinoplanes spp."
"OTU2194","bacteria","actinobacteria","actinobacteria","actinomycetales","intrasporangiaceae","terrabacter","terrabacter sp."
"OTU2195","bacteria","firmicutes","bacilli","lactobacillales","carnobacteriaceae","carnobacterium","carnobacterium spp."
"OTU2196","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU2197","bacteria","cyanobacteria","cyanobacteria","oscillatoriales","oscillatoriales","phormidium","phormidium spp."
"OTU2198","bacteria","proteobacteria","deltaproteobacteria","myxococcales","nannocystaceae","nannocystis","nannocystis spp."
"OTU2199","bacteria","proteobacteria","betaproteobacteria","nitrosomonadales","nitrosomonadaceae","nitrosospira","nitrosospira spp."
"OTU2200","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","prosthecobacter","prosthecobacter spp."
"OTU2201","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","phyllobacteriaceae","thermovum","thermovum composti"
"OTU2202","bacteria","actinobacteria","actinobacteria","actinomycetales","frankiaceae","frankia","frankia spp."
"OTU2203","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU2204","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU2205","bacteria","actinobacteria","actinobacteria","acidimicrobiales","acidimicrobiaceae","ferrithrix","ferrithrix spp."
"OTU2206","bacteria","firmicutes","negativicutes","selenomonadales","veillonellaceae","anaerosinus","selenomonadaceae sb90"
"OTU2207","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","rhodopirellula","rhodopirellula spp."
"OTU2208","bacteria","firmicutes","clostridia","clostridiales","eubacteriaceae","alkalibacter","alkalibacter spp."
"OTU2209","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","phyllobacteriaceae","mesorhizobium","mesorhizobium spp."
"OTU2210","bacteria","firmicutes","bacilli","bacillales","thermoactinomycetaceae","thermoflavimicrobium","thermoflavimicrobium dichotomicum"
"OTU2211","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","geobacteraceae","geobacter","geobacter spp."
"OTU2212","bacteria","firmicutes","clostridia","clostridiales","gracilibacteraceae","gracilibacter","gracilibacter thermotolerans"
"OTU2213","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU2214","bacteria","proteobacteria","deltaproteobacteria","myxococcales","sandaracinaceae","sandaracinus","sandaracinus spp."
"OTU2215","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospira","magnetospira sp."
"OTU2216","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","blastopirellula","blastopirellula spp."
"OTU2217","bacteria","proteobacteria","alphaproteobacteria","rickettsiales","rickettsiales","candidatus odyssella","uncultured candidatus odyssella sp."
"OTU2218","bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","sporocytophaga","sporocytophaga spp."
"OTU2219","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","geobacteraceae","geobacter","geobacter spp."
"OTU2220","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","aquicella","aquicella spp."
"OTU2221","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU2222","bacteria","proteobacteria","betaproteobacteria","rhodocyclales","rhodocyclaceae","propionivibrio","propionivibrio spp."
"OTU2223","bacteria","proteobacteria","gammaproteobacteria","legionellales","legionellaceae","legionella","legionella spp."
"OTU2224","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylobacteriaceae","methylobacterium","methylobacterium adhaesivum"
"OTU2225","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","singulisphaera","singulisphaera spp."
"OTU2226","bacteria","firmicutes","clostridia","clostridiales","heliobacteriaceae","heliobacterium","heliobacterium spp."
"OTU2227","bacteria","proteobacteria","deltaproteobacteria","bdellovibrionales","bdellovibrionaceae","bdellovibrio","bdellovibrio spp."
"OTU2228","bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","rhodocytophaga","rhodocytophaga spp."
"OTU2229","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","geobacteraceae","geobacter","geobacter spp."
"OTU2230","bacteria","proteobacteria","gammaproteobacteria","chromatiales","ectothiorhodospiraceae","thioalbus","thioalbus denitrificans"
"OTU2231","bacteria","proteobacteria","deltaproteobacteria","myxococcales","labilitrichaceae","labilithrix","labilithrix luteola"
"OTU2232","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU2233","bacteria","proteobacteria","gammaproteobacteria","chromatiales","chromatiaceae","nitrosococcus","nitrosococcus spp."
"OTU2234","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","verrucomicrobium","verrucomicrobium spp."
"OTU2235","bacteria","firmicutes","erysipelotrichia","erysipelotrichales","erysipelotrichaceae","erysipelothrix","erysipelothrix sp."
"OTU2236","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus sp."
"OTU2237","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","singulisphaera","singulisphaera spp."
"OTU2238","bacteria","firmicutes","clostridia","thermoanaerobacterales","thermoanaerobacteraceae","moorella","moorella humiferrea"
"OTU2239","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","sphingobacterium","sphingobacterium spiritivorum"
"OTU2240","bacteria","firmicutes","clostridia","halanaerobiales","halanaerobiaceae","halocella","halocella cellulosilytica"
"OTU2241","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","aquicella","aquicella spp."
"OTU2242","bacteria","proteobacteria","betaproteobacteria","burkholderiales","comamonadaceae","variovorax","variovorax sp."
"OTU2243","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardiaceae","rhodococcus","rhodococcus zopfii"
"OTU2244","bacteria","proteobacteria","deltaproteobacteria","myxococcales","polyangiaceae","byssovorax","byssovorax spp."
"OTU2245","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","dokdonella","dokdonella ginsengisoli"
"OTU2246","bacteria","chloroflexi","thermomicrobia","sphaerobacterales","sphaerobacteraceae","sphaerobacter","sphaerobacter spp."
"OTU2247","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU2248","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU2249","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter spp."
"OTU2250","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus spp."
"OTU2251","bacteria","proteobacteria","gammaproteobacteria","pseudomonadales","pseudomonadaceae","pseudomonas","pseudomonas spp."
"OTU2252","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas wittichii"
"OTU2253","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU2254","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","stella","stella spp."
"OTU2255","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","aquicella","aquicella spp."
"OTU2256","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","aquimonas","aquimonas sp."
"OTU2257","bacteria","actinobacteria","thermoleophilia","thermoleophilales","thermoleophilaceae","thermoleophilum","thermoleophilum spp."
"OTU2258","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","planctomyces","planctomyces spp."
"OTU2259","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU2260","bacteria","proteobacteria","gammaproteobacteria","methylococcales","methylococcaceae","methylococcus","methylococcus spp."
"OTU2261","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus spp."
"OTU2262","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","phyllobacteriaceae","mesorhizobium","mesorhizobium spp."
"OTU2263","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","singulisphaera","singulisphaera sp."
"OTU2264","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","clostridium","clostridium spp."
"OTU2265","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU2266","bacteria","actinobacteria","actinobacteria","rubrobacterales","rubrobacteraceae","rubrobacter","rubrobacter spp."
"OTU2267","bacteria","chloroflexi","anaerolineae","anaerolineales","anaerolineaceae","longilinea","longilinea spp."
"OTU2268","bacteria","proteobacteria","deltaproteobacteria","myxococcales","polyangiaceae","chondromyces","chondromyces lanuginosus"
"OTU2269","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","clostridium","clostridium spp."
"OTU2270","bacteria","chloroflexi","thermomicrobia","sphaerobacterales","sphaerobacteraceae","sphaerobacter","sphaerobacter spp."
"OTU2271","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","planctomyces","planctomyces spp."
"OTU2272","bacteria","actinobacteria","actinobacteria","actinomycetales","cryptosporangiaceae","fodinicola","fodinicola spp."
"OTU2273","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","rhodoplanes","rhodoplanes spp."
"OTU2274","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU2275","bacteria","firmicutes","bacilli","bacillales","bacillaceae","geobacillus","geobacillus spp."
"OTU2276","bacteria","firmicutes","clostridia","thermoanaerobacterales","thermoanaerobacteraceae","moorella","moorella spp."
"OTU2277","bacteria","actinobacteria","actinobacteria","actinomycetales","micrococcaceae","arthrobacter","arthrobacter psychrolactophilus"
"OTU2278","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","coxiella","coxiella spp."
"OTU2279","bacteria","firmicutes","clostridia","clostridiales","symbiobacteriaceae","symbiobacterium","symbiobacterium spp."
"OTU2280","bacteria","chloroflexi","dehalococcoidia","dehalococcoidales","dehalococcoidaceae","dehalococcoides","dehalococcoides spp."
"OTU2281","bacteria","firmicutes","clostridia","clostridiales","peptococcaceae","thermincola","thermincola spp."
"OTU2282","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter spp."
"OTU2283","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","acidisphaera","acidisphaera spp."
"OTU2284","bacteria","bacteroidetes","flavobacteriia","flavobacteriales","flavobacteriaceae","flavobacterium","flavobacterium sp."
"OTU2285","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter spp."
"OTU2286","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU2287","eukaryota","bacillariophyta","bacillariophyceae","bacillariales","bacillariaceae","bacillaria","bacillaria paxillifer"
"OTU2288","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","aquicella","aquicella spp."
"OTU2289","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","blastopirellula","blastopirellula spp."
"OTU2290","bacteria","proteobacteria","alphaproteobacteria","rhodobacterales","rhodobacteraceae","rubellimicrobium","rubellimicrobium spp."
"OTU2291","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","geobacteraceae","geobacter","geobacter spp."
"OTU2292","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","rhodopirellula","rhodopirellula spp."
"OTU2293","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","geobacteraceae","geoalkalibacter","geoalkalibacter spp."
"OTU2294","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardiaceae","rhodococcus","rhodococcus spp."
"OTU2295","bacteria","nitrospirae","nitrospira","nitrospirales","nitrospiraceae","nitrospira","nitrospira spp."
"OTU2296","bacteria","chloroflexi","thermomicrobia","thermomicrobiales","thermomicrobiaceae","thermomicrobium","thermomicrobium spp."
"OTU2297","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","sphingobacterium","sphingobacterium spp."
"OTU2298","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU2299","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga spp."
"OTU2300","bacteria","chloroflexi","chloroflexia","chloroflexales","chloroflexaceae","chloroflexus","chloroflexus sp."
"OTU2301","bacteria","firmicutes","clostridia","clostridiales","clostridiales family xvii. incertae sedis","thermaerobacter","thermaerobacter spp."
"OTU2302","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU2303","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas spp."
"OTU2304","bacteria","planctomycetes","phycisphaerae","phycisphaerales","phycisphaeraceae","phycisphaera","phycisphaera spp."
"OTU2305","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","actinoplanes","actinoplanes globisporus"
"OTU2306","bacteria","actinobacteria","actinobacteria","acidimicrobiales","acidimicrobiaceae","ferrithrix","ferrithrix spp."
"OTU2307","bacteria","proteobacteria","deltaproteobacteria","myxococcales","polyangiaceae","polyangium","polyangium sp."
"OTU2308","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus thermoaerophilus"
"OTU2309","bacteria","proteobacteria","alphaproteobacteria","caulobacterales","caulobacteraceae","caulobacter","caulobacter ginsengisoli"
"OTU2310","eukaryota","eukaryota","eukaryota","longamoebia","longamoebia","acanthamoeba","acanthamoeba castellanii"
"OTU2311","bacteria","chloroflexi","dehalococcoidia","dehalococcoidales","dehalococcoidaceae","dehalococcoides","dehalococcoides spp."
"OTU2312","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU2313","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","burkholderia","burkholderia spp."
"OTU2314","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","burkholderia","burkholderia spp."
"OTU2315","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","acidisphaera","acidisphaera spp."
"OTU2316","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","hyphomicrobium","hyphomicrobium spp."
"OTU2317","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylobacteriaceae","microvirga","microvirga spp."
"OTU2318","bacteria","firmicutes","clostridia","thermoanaerobacterales","thermoanaerobacteraceae","moorella","moorella spp."
"OTU2319","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","thermomonas","thermomonas fusca"
"OTU2320","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus alcalophilus"
"OTU2321","bacteria","bacteroidetes","flavobacteriia","flavobacteriales","flavobacteriaceae","flavobacterium","flavobacterium spp."
"OTU2322","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardiaceae","nocardia","nocardia harenosa"
"OTU2323","bacteria","proteobacteria","alphaproteobacteria","magnetococcales","magnetococcaceae","magnetococcus","magnetococcus spp."
"OTU2324","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU2325","bacteria","firmicutes","bacilli","bacillales","thermoactinomycetaceae","planifilum","planifilum fulgidum"
"OTU2326","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","hyphomicrobium","hyphomicrobium spp."
"OTU2327","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","stenotrophomonas","stenotrophomonas chelatiphaga"
