"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU11103","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","rhodopirellula","rhodopirellula spp."
"OTU11104","bacteria","actinobacteria","actinobacteria","rubrobacterales","rubrobacteraceae","rubrobacter","rubrobacter spp."
"OTU11105","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga spp."
"OTU11106","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU11107","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter spp."
"OTU11108","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU11109","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU11110","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","solitalea","solitalea spp."
"OTU11111","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobia subdivision 3","pedosphaera","pedosphaera spp."
"OTU11112","bacteria","proteobacteria","gammaproteobacteria","pseudomonadales","pseudomonadaceae","pseudomonas","pseudomonas spp."
"OTU11113","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU11114","bacteria","actinobacteria","actinobacteria","actinomycetales","intrasporangiaceae","phycicoccus","phycicoccus sp."
"OTU11115","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","kaistobacter","kaistobacter spp."
"OTU11116","bacteria","firmicutes","clostridia","clostridiales","defluviitaleaceae","vallitalea","vallitalea spp."
"OTU11117","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU11118","bacteria","actinobacteria","actinobacteria","actinomycetales","frankiaceae","frankia","frankia spp."
"OTU11119","bacteria","firmicutes","clostridia","clostridiales","clostridiales family xi. incertae sedis","tissierella","tissierella spp."
"OTU11120","bacteria","chloroflexi","dehalococcoidia","dehalococcoidia","dehalococcoidia","dehalogenimonas","dehalogenimonas spp."
"OTU11121","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter rhizospharae"
"OTU11122","bacteria","proteobacteria","deltaproteobacteria","bdellovibrionales","bdellovibrionaceae","bdellovibrio","bdellovibrio spp."
"OTU11123","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","flavisolibacter","flavisolibacter spp."
"OTU11124","bacteria","chloroflexi","ktedonobacteria","ktedonobacterales","ktedonobacteraceae","ktedonobacter","ktedonobacter spp."
"OTU11125","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","flavisolibacter","flavisolibacter spp."
"OTU11126","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardioidaceae","nocardioides","nocardioides kribbensis"
"OTU11127","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophaceae","syntrophus","syntrophus spp."
"OTU11128","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas spp."
"OTU11129","bacteria","proteobacteria","deltaproteobacteria","desulfobacterales","desulfobacteraceae","algorimarina","algorimarina spp."
"OTU11130","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","geobacteraceae","geoalkalibacter","geoalkalibacter spp."
"OTU11131","bacteria","proteobacteria","deltaproteobacteria","myxococcales","kofleriaceae","haliangium","haliangium spp."
"OTU11132","bacteria","firmicutes","clostridia","clostridiales","gracilibacteraceae","gracilibacter","gracilibacter thermotolerans"
"OTU11133","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU11134","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus spp."
"OTU11135","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU11136","bacteria","firmicutes","bacilli","bacillales","planococcaceae","sporosarcina","sporosarcina soli"
"OTU11137","bacteria","firmicutes","clostridia","clostridiales","peptococcaceae","desulfosporosinus","desulfosporosinus meridiei"
"OTU11138","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","dokdonella","dokdonella sp."
"OTU11139","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","stella","stella spp."
"OTU11140","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","cupriavidus","cupriavidus spp."
"OTU11141","bacteria","firmicutes","clostridia","clostridiales","peptococcaceae","desulfitobacterium","desulfitobacterium spp."
"OTU11142","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","catenuloplanes","catenuloplanes spp."
"OTU11143","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiales","alsobacter","alsobacter metallidurans"
"OTU11144","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter terrae"
"OTU11145","fungi","fungi","mucoromycotina","mucorales","rhizopodaceae","rhizopus","rhizopus microsporus"
"OTU11146","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","diplorickettsia","diplorickettsia sp."
"OTU11147","fungi","ascomycota","sordariomycetes","glomerellales","plectosphaerellaceae","verticillium","verticillium dahliae"
"OTU11148","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas spp."
"OTU11149","bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"OTU11150","bacteria","firmicutes","erysipelotrichia","erysipelotrichales","erysipelotrichaceae","bulleidia","bulleidia  spp."
"OTU11151","bacteria","proteobacteria","gammaproteobacteria","chromatiales","chromatiaceae","nitrosococcus","nitrosococcus spp."
"OTU11152","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","methylosinus","methylosinus sp."
"OTU11153","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU11154","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","tistrella","tistrella spp."
"OTU11155","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","verrucomicrobium","verrucomicrobium spp."
"OTU11156","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU11157","bacteria","actinobacteria","actinobacteria","actinomycetales","thermomonosporaceae","actinoallomurus","actinoallomurus spp."
"OTU11158","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","burkholderia","burkholderia spp."
"OTU11159","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiaceae","rhizobium","rhizobium tropici"
"OTU11160","bacteria","actinobacteria","actinobacteria","acidimicrobiales","iamiaceae","iamia","iamia spp."
"OTU11161","bacteria","actinobacteria","actinobacteria","gaiellales","gaiellaceae","gaiella","gaiella spp."
"OTU11162","bacteria","chloroflexi","anaerolineae","anaerolineales","anaerolineaceae","longilinea","longilinea spp."
